 Substance:BZO200d       2023/12/04 18:04:51                     
 Input files: ./data/bzo200d_n0001.dat to ./data/bzo200d_n0001.dat step           1
 OMP processes  =            2
 Integration Monte Carlo     450000000 cell pairs, j_rand           5
 Supercell size:          32          32          32
 Unit cell parameter:   4.19393730       4.19393730       4.19393730    
 Atoms/unit_cell:           5
 Atoms  :    Ba      Zr      O1      O2      O3  
 Atom no.        1       2       3       4       5
 Occups:   0.2000  0.2000  0.2000  0.2000  0.2000
 Weights: Neutron          0.5070  0.7160  0.5803  0.5803  0.5803
 Masks	:        1       1       1       1       1
 Smoothing FWHM [Å-1]   9.38349068E-02

 Output: I(Q)
 Partials index        1  1    1  2    2  2    1  3    2  3      3  3    1  4    2  4    3  4    4  4      1  5    2  5    3  5    4  5    5  5
   Q [A-1]   Total       Ba_Ba   Ba_Zr   Zr_Zr   Ba_O1   Zr_O1     O1_O1   Ba_O2   Zr_O2   O1_O2   O2_O2     Ba_O3   Zr_O3   O1_O3   O2_O3   O3_O3
   2.580    2.799     0.313  -0.865   0.631   0.689  -1.019     0.415   0.706  -1.016   0.814   0.404     0.701  -0.998   0.822   0.801   0.402
   2.604    2.818     0.317  -0.870   0.631   0.693  -1.025     0.420   0.709  -1.021   0.816   0.407     0.703  -0.997   0.825   0.807   0.403
   2.627    2.449     0.277  -0.757   0.546   0.601  -0.894     0.368   0.614  -0.887   0.708   0.357     0.610  -0.861   0.714   0.700   0.353
   2.651    1.809     0.206  -0.566   0.403   0.443  -0.667     0.276   0.451  -0.657   0.525   0.269     0.452  -0.633   0.527   0.514   0.267
   2.674    1.099     0.126  -0.352   0.245   0.266  -0.412     0.171   0.272  -0.398   0.321   0.169     0.276  -0.380   0.318   0.306   0.170
   2.698    0.515     0.058  -0.169   0.114   0.119  -0.192     0.081   0.122  -0.174   0.150   0.083     0.128  -0.167   0.142   0.131   0.088
   2.721    0.164     0.015  -0.045   0.032   0.026  -0.047     0.022   0.027  -0.025   0.041   0.028     0.033  -0.028   0.031   0.021   0.035
   2.745    0.031    -0.002   0.013  -0.002  -0.011   0.021    -0.006  -0.011   0.042  -0.005   0.002    -0.010   0.032  -0.016  -0.025   0.010
   2.768    0.005    -0.002   0.021  -0.005  -0.013   0.028    -0.011  -0.014   0.048  -0.012  -0.003    -0.018   0.035  -0.021  -0.028   0.003
   2.792   -0.030     0.003   0.002   0.001  -0.006   0.005    -0.008  -0.006   0.021  -0.006  -0.002    -0.015   0.010  -0.013  -0.019   0.003
   2.815   -0.104     0.006  -0.019   0.004  -0.002  -0.021    -0.006  -0.002  -0.009  -0.004  -0.003    -0.013  -0.014  -0.008  -0.014   0.001
   2.839   -0.112     0.008  -0.024   0.005  -0.001  -0.029    -0.003  -0.001  -0.019  -0.001  -0.004    -0.009  -0.019  -0.004  -0.011  -0.000
   2.862    0.146     0.014   0.001   0.019   0.012  -0.002     0.008   0.013   0.007   0.018   0.003     0.011   0.012   0.015   0.008   0.007
   2.885    0.851     0.033   0.062   0.058   0.054   0.068     0.036   0.054   0.080   0.071   0.028     0.061   0.086   0.067   0.060   0.032
   2.909    2.039     0.067   0.157   0.128   0.129   0.181     0.084   0.129   0.197   0.163   0.075     0.144   0.200   0.156   0.151   0.078
   2.932    3.528     0.112   0.272   0.218   0.226   0.320     0.145   0.225   0.339   0.278   0.137     0.247   0.339   0.268   0.266   0.136
   2.956    4.945     0.155   0.381   0.303   0.320   0.451     0.203   0.318   0.473   0.387   0.197     0.344   0.469   0.375   0.376   0.192
   2.979    5.872     0.182   0.457   0.356   0.382   0.539     0.239   0.379   0.561   0.458   0.236     0.407   0.553   0.445   0.448   0.228
   3.003    6.015     0.184   0.476   0.359   0.394   0.555     0.243   0.390   0.575   0.467   0.243     0.416   0.565   0.456   0.460   0.232
   3.026    5.336     0.161   0.428   0.311   0.352   0.495     0.213   0.347   0.511   0.413   0.217     0.370   0.500   0.405   0.409   0.204
   3.050    4.064     0.121   0.326   0.233   0.270   0.380     0.163   0.264   0.391   0.311   0.168     0.283   0.381   0.309   0.310   0.156
   3.073    2.591     0.078   0.198   0.149   0.173   0.247     0.109   0.165   0.252   0.191   0.114     0.180   0.244   0.195   0.193   0.103
   3.097    1.300     0.042   0.085   0.080   0.088   0.131     0.063   0.078   0.129   0.085   0.067     0.088   0.125   0.093   0.087   0.059
   3.120    0.425     0.016   0.018   0.030   0.033   0.050     0.031   0.019   0.043   0.015   0.032     0.026   0.044   0.025   0.017   0.027
   3.143   -0.002    -0.002   0.009  -0.006   0.012   0.006     0.008  -0.005  -0.005  -0.014   0.008    -0.002   0.001  -0.003  -0.013   0.004
   3.167   -0.097    -0.013   0.038  -0.030   0.014  -0.011    -0.007  -0.003  -0.023  -0.011  -0.009    -0.003  -0.014  -0.002  -0.011  -0.011
   3.190   -0.018    -0.012   0.056  -0.032   0.019  -0.006    -0.006   0.003  -0.017  -0.002  -0.009     0.001  -0.007   0.005  -0.000  -0.011
   3.214    0.128     0.015   0.000   0.018   0.003   0.024     0.027  -0.009   0.017  -0.012   0.025    -0.013   0.026  -0.008  -0.008   0.023
   3.237    0.314     0.081  -0.178   0.147  -0.049   0.092     0.112  -0.054   0.089  -0.063   0.110    -0.060   0.096  -0.059  -0.054   0.107
   3.261    0.554     0.189  -0.487   0.364  -0.139   0.204     0.251  -0.135   0.202  -0.157   0.250    -0.145   0.208  -0.153  -0.144   0.247
   3.284    0.849     0.323  -0.879   0.640  -0.250   0.346     0.426  -0.238   0.345  -0.278   0.425    -0.251   0.351  -0.271  -0.261   0.423
   3.308    1.150     0.453  -1.262   0.910  -0.355   0.489     0.594  -0.336   0.484  -0.395   0.593    -0.352   0.493  -0.385  -0.376   0.594
   3.331    1.367     0.541  -1.524   1.096  -0.423   0.588     0.707  -0.400   0.580  -0.473   0.706    -0.419   0.592  -0.461  -0.455   0.710
   3.355    1.419     0.558  -1.582   1.141  -0.434   0.611     0.730  -0.412   0.600  -0.491   0.728    -0.433   0.614  -0.476  -0.473   0.737
   3.378    1.281     0.502  -1.417   1.034  -0.388   0.546     0.655  -0.369   0.537  -0.443   0.653    -0.390   0.549  -0.427  -0.427   0.666
   3.402    0.996     0.390  -1.082   0.810  -0.298   0.416     0.508  -0.287   0.409  -0.347   0.507    -0.305   0.416  -0.331  -0.331   0.521
   3.425    0.654     0.255  -0.684   0.536  -0.193   0.261     0.331  -0.188   0.260  -0.229   0.331    -0.203   0.258  -0.215  -0.213   0.346
   3.448    0.346     0.131  -0.337   0.279  -0.095   0.127     0.168  -0.096   0.132  -0.118   0.171    -0.107   0.119  -0.108  -0.102   0.182
   3.472    0.132     0.040  -0.113   0.088  -0.024   0.043     0.048  -0.027   0.050  -0.034   0.054    -0.035   0.029  -0.028  -0.019   0.060
