 Substance:Al_U       2023/12/12 09:50:39                     
 Input files: ./data/Al_U_large_n0001.dat to ./data/Al_U_large_n0001.dat step           1
 OMP processes  =            2
 Integration Monte Carlo     100000000 cell pairs, j_rand          10
 Supercell size:           1           1           1
 Unit cell parameter:   79.8159637       79.8159637       79.8159637    
 Atoms/unit_cell:           2
 Atoms  :    Al      U   
 Atom no.        1       2
 Occups:   0.9200  0.0800
 Weights: Unit             1.0000  1.0000
 Masks	:        1       1
 Smoothing FWHM [Å]   9.99999940E-02

 Output: g(r)
 Partials index        1  1    1  2    2  2
   r [A]   Total       Al_Al   Al_U   U_U
   6.620    0.843     0.753   0.087   0.003
   6.640    0.846     0.757   0.087   0.003
   6.660    0.850     0.762   0.086   0.002
   6.680    0.855     0.767   0.086   0.002
   6.700    0.861     0.773   0.086   0.002
   6.720    0.867     0.779   0.086   0.001
   6.740    0.874     0.786   0.087   0.001
   6.760    0.881     0.792   0.088   0.001
   6.780    0.888     0.799   0.088   0.001
   6.800    0.895     0.804   0.089   0.001
   6.820    0.901     0.809   0.090   0.001
   6.840    0.906     0.813   0.091   0.002
   6.860    0.913     0.818   0.093   0.002
   6.880    0.922     0.825   0.095   0.002
   6.900    0.934     0.834   0.098   0.002
   6.920    0.947     0.843   0.102   0.002
   6.940    0.960     0.853   0.105   0.002
   6.960    0.973     0.863   0.108   0.002
   6.980    0.985     0.871   0.112   0.002
   7.000    0.997     0.879   0.115   0.002
   7.020    1.008     0.886   0.119   0.002
   7.040    1.018     0.891   0.124   0.003
   7.060    1.027     0.895   0.128   0.003
   7.080    1.035     0.898   0.133   0.004
   7.100    1.043     0.902   0.137   0.004
   7.120    1.053     0.908   0.141   0.004
   7.140    1.064     0.915   0.145   0.004
   7.160    1.075     0.923   0.148   0.005
   7.180    1.086     0.930   0.151   0.005
   7.200    1.094     0.936   0.154   0.005
   7.220    1.102     0.940   0.156   0.006
   7.240    1.109     0.943   0.159   0.006
   7.260    1.116     0.946   0.163   0.007
   7.280    1.122     0.949   0.166   0.007
   7.300    1.128     0.951   0.170   0.008
   7.320    1.133     0.951   0.173   0.008
   7.340    1.136     0.951   0.176   0.009
   7.360    1.137     0.950   0.178   0.009
   7.380    1.137     0.948   0.180   0.009
   7.400    1.138     0.947   0.182   0.009
   7.420    1.140     0.947   0.184   0.009
   7.440    1.143     0.948   0.185   0.009
   7.460    1.145     0.949   0.186   0.010
   7.480    1.146     0.950   0.186   0.010
   7.500    1.147     0.950   0.187   0.010
   7.520    1.148     0.950   0.187   0.011
   7.540    1.147     0.948   0.188   0.011
   7.560    1.145     0.945   0.189   0.011
   7.580    1.141     0.940   0.189   0.011
   7.600    1.136     0.936   0.189   0.012
   7.620    1.131     0.931   0.188   0.012
   7.640    1.127     0.928   0.188   0.012
   7.660    1.125     0.926   0.187   0.012
   7.680    1.123     0.924   0.187   0.011
   7.700    1.121     0.923   0.187   0.011
   7.720    1.118     0.921   0.186   0.011
   7.740    1.115     0.920   0.185   0.011
   7.760    1.111     0.917   0.183   0.011
   7.780    1.106     0.913   0.181   0.011
   7.800    1.100     0.909   0.179   0.012
   7.820    1.093     0.904   0.177   0.012
   7.840    1.084     0.898   0.175   0.012
   7.860    1.076     0.892   0.173   0.011
   7.880    1.069     0.887   0.172   0.011
   7.900    1.063     0.883   0.171   0.010
   7.920    1.059     0.879   0.169   0.010
   7.940    1.054     0.876   0.168   0.010
   7.960    1.049     0.873   0.166   0.009
   7.980    1.043     0.870   0.163   0.009
   8.000    1.036     0.866   0.161   0.009
   8.020    1.029     0.861   0.158   0.009
   8.040    1.022     0.857   0.157   0.009
   8.060    1.017     0.853   0.156   0.008
   8.080    1.012     0.849   0.155   0.008
   8.100    1.008     0.846   0.154   0.008
   8.120    1.003     0.842   0.153   0.007
   8.140    0.997     0.838   0.152   0.007
   8.160    0.990     0.834   0.150   0.006
   8.180    0.984     0.830   0.148   0.006
   8.200    0.978     0.826   0.146   0.006
   8.220    0.972     0.823   0.144   0.005
   8.240    0.967     0.820   0.142   0.005
   8.260    0.960     0.816   0.140   0.005
   8.280    0.954     0.812   0.138   0.005
   8.300    0.948     0.807   0.136   0.005
   8.320    0.943     0.803   0.135   0.005
   8.340    0.937     0.799   0.133   0.005
   8.360    0.933     0.796   0.132   0.005
   8.380    0.929     0.793   0.131   0.005
   8.400    0.926     0.790   0.131   0.005
   8.420    0.923     0.788   0.130   0.005
   8.440    0.918     0.784   0.129   0.005
   8.460    0.914     0.781   0.128   0.005
   8.480    0.911     0.779   0.127   0.005
   8.500    0.910     0.779   0.127   0.005
   8.520    0.912     0.780   0.127   0.005
