 Substance:Al_U       2023/12/12 09:52:08                     
 Input files: ./data/Al_U_large_n0001.dat to ./data/Al_U_large_n0001.dat step           1
 OMP processes  =            2
 Integration Monte Carlo     100000000 cell pairs, j_rand          10
 Supercell size:           1           1           1
 Unit cell parameter:   79.8159637       79.8159637       79.8159637    
 Atoms/unit_cell:           2
 Atoms  :    Al      U   
 Atom no.        1       2
 Occups:   0.9200  0.0800
 Weights: Xray            12.9937 91.9693
 Masks	:        1       1
 Smoothing FWHM [Å-1]   8.72664675E-02

 Output: S(Q)
 Partials index        1  1    1  2    2  2
   Q [A-1]   Total       Al_Al   Al_U   U_U
 110.741    0.998     0.241   0.500   0.257
 110.785    1.000     0.242   0.501   0.257
 110.828    0.999     0.242   0.501   0.257
 110.872    0.999     0.241   0.499   0.258
 110.916    0.998     0.241   0.498   0.258
 110.959    0.999     0.241   0.499   0.259
 111.003    1.001     0.241   0.501   0.259
 111.047    1.000     0.241   0.501   0.258
 111.090    1.002     0.242   0.499   0.261
 111.134    1.001     0.241   0.499   0.260
 111.177    1.000     0.241   0.501   0.258
 111.221    1.004     0.241   0.501   0.261
 111.265    1.003     0.241   0.499   0.262
 111.308    1.000     0.241   0.499   0.259
 111.352    1.000     0.241   0.500   0.258
 111.396    1.000     0.241   0.501   0.258
 111.439    0.999     0.241   0.500   0.257
 111.483    1.000     0.241   0.500   0.259
 111.527    1.004     0.241   0.501   0.262
 111.570    1.005     0.241   0.501   0.262
 111.614    1.000     0.241   0.500   0.258
 111.657    0.998     0.241   0.499   0.257
 111.701    0.999     0.241   0.499   0.258
 111.745    1.000     0.242   0.501   0.258
 111.788    1.002     0.242   0.500   0.260
 111.832    1.000     0.241   0.499   0.259
 111.876    0.998     0.241   0.500   0.256
 111.919    1.000     0.242   0.500   0.258
 111.963    1.002     0.241   0.499   0.261
 112.007    0.999     0.241   0.500   0.259
 112.050    0.998     0.241   0.500   0.257
 112.094    0.998     0.242   0.498   0.258
 112.137    0.998     0.242   0.499   0.258
 112.181    1.000     0.241   0.501   0.257
 112.225    1.001     0.241   0.500   0.259
 112.268    1.000     0.241   0.499   0.259
 112.312    1.000     0.242   0.500   0.258
 112.356    1.001     0.242   0.500   0.260
 112.399    1.001     0.242   0.499   0.260
 112.443    1.001     0.242   0.499   0.260
 112.486    1.001     0.242   0.500   0.260
 112.530    0.997     0.241   0.499   0.257
 112.574    0.998     0.241   0.499   0.258
 112.617    1.000     0.241   0.500   0.259
 112.661    1.000     0.241   0.500   0.258
 112.705    1.000     0.241   0.500   0.258
 112.748    0.998     0.241   0.500   0.256
 112.792    0.997     0.241   0.500   0.255
 112.836    0.998     0.242   0.500   0.256
 112.879    1.000     0.242   0.500   0.258
 112.923    0.998     0.242   0.500   0.256
 112.966    0.999     0.242   0.500   0.257
 113.010    1.003     0.241   0.501   0.260
 113.054    1.002     0.241   0.501   0.259
 113.097    1.000     0.241   0.500   0.259
 113.141    1.002     0.241   0.500   0.260
 113.185    1.002     0.241   0.500   0.261
 113.228    1.000     0.242   0.499   0.260
 113.272    1.000     0.241   0.500   0.259
 113.316    1.000     0.241   0.500   0.259
 113.359    1.002     0.242   0.500   0.261
 113.403    1.003     0.241   0.500   0.261
 113.446    1.000     0.241   0.500   0.259
 113.490    0.999     0.241   0.500   0.258
 113.534    0.999     0.241   0.499   0.259
 113.577    1.000     0.241   0.500   0.260
 113.621    1.002     0.242   0.500   0.261
 113.665    1.005     0.242   0.501   0.263
 113.708    1.003     0.241   0.500   0.262
 113.752    0.999     0.241   0.500   0.257
 113.795    0.999     0.241   0.500   0.258
 113.839    1.000     0.241   0.499   0.260
 113.883    0.997     0.241   0.500   0.256
 113.926    0.996     0.241   0.500   0.255
 113.970    0.998     0.242   0.500   0.257
 114.014    1.001     0.242   0.500   0.259
 114.057    1.001     0.241   0.500   0.260
 114.101    0.999     0.241   0.499   0.258
 114.145    1.001     0.241   0.500   0.259
 114.188    1.005     0.242   0.500   0.263
 114.232    1.001     0.241   0.499   0.260
 114.275    0.996     0.241   0.499   0.256
 114.319    0.998     0.241   0.500   0.257
 114.363    1.000     0.241   0.499   0.260
 114.406    1.002     0.241   0.499   0.261
 114.450    1.001     0.241   0.499   0.260
 114.494    0.996     0.242   0.499   0.256
 114.537    0.995     0.241   0.499   0.254
 114.581    0.998     0.241   0.500   0.257
 114.625    0.998     0.242   0.499   0.257
 114.668    0.997     0.241   0.499   0.257
 114.712    1.002     0.241   0.500   0.260
 114.755    1.002     0.241   0.500   0.260
 114.799    1.000     0.242   0.500   0.258
 114.843    1.000     0.242   0.500   0.258
 114.886    0.999     0.241   0.500   0.258
 114.930    1.002     0.241   0.500   0.260
 114.974    1.001     0.241   0.500   0.260
 115.017    0.998     0.242   0.500   0.256
 115.061    0.998     0.242   0.500   0.256
 115.104    1.000     0.242   0.500   0.258
 115.148    1.003     0.241   0.501   0.260
 115.192    1.001     0.241   0.501   0.259
 115.235    0.999     0.241   0.500   0.258
 115.279    1.002     0.241   0.501   0.261
 115.323    1.001     0.241   0.501   0.258
 115.366    1.000     0.241   0.500   0.258
 115.410    1.002     0.241   0.500   0.261
 115.454    1.000     0.242   0.500   0.258
 115.497    1.000     0.241   0.501   0.257
 115.541    1.001     0.241   0.501   0.259
 115.584    1.001     0.242   0.500   0.260
 115.628    1.003     0.242   0.500   0.262
 115.672    1.005     0.242   0.500   0.264
 115.715    1.002     0.242   0.500   0.261
 115.759    0.999     0.242   0.499   0.259
 115.803    1.000     0.242   0.499   0.259
 115.846    0.999     0.241   0.499   0.258
 115.890    0.999     0.241   0.500   0.258
 115.934    1.002     0.241   0.500   0.261
 115.977    1.000     0.241   0.499   0.259
 116.021    0.995     0.241   0.499   0.255
 116.064    0.998     0.242   0.499   0.258
 116.108    1.001     0.242   0.498   0.262
 116.152    1.000     0.241   0.498   0.260
 116.195    0.999     0.241   0.500   0.257
 116.239    0.998     0.241   0.500   0.257
 116.283    0.999     0.241   0.499   0.258
 116.326    1.002     0.241   0.500   0.261
 116.370    1.000     0.242   0.499   0.259
 116.413    0.996     0.242   0.499   0.256
 116.457    0.998     0.241   0.500   0.257
 116.501    1.000     0.241   0.501   0.258
 116.544    0.999     0.241   0.501   0.257
 116.588    0.998     0.241   0.500   0.256
 116.632    1.000     0.241   0.500   0.258
 116.675    1.001     0.242   0.500   0.259
 116.719    0.998     0.242   0.500   0.257
 116.763    0.999     0.241   0.500   0.258
 116.806    1.000     0.241   0.501   0.258
 116.850    0.997     0.241   0.501   0.255
 116.893    0.999     0.241   0.500   0.257
 116.937    1.001     0.241   0.500   0.260
 116.981    1.003     0.241   0.501   0.261
 117.024    1.002     0.241   0.501   0.260
 117.068    1.000     0.241   0.500   0.258
 117.112    1.001     0.242   0.500   0.260
 117.155    1.002     0.241   0.500   0.260
 117.199    1.000     0.241   0.501   0.258
 117.243    1.002     0.241   0.501   0.260
 117.286    1.003     0.242   0.500   0.261
 117.330    1.000     0.242   0.500   0.259
 117.373    1.002     0.242   0.500   0.260
 117.417    1.001     0.242   0.500   0.259
 117.461    1.000     0.241   0.500   0.258
 117.504    1.001     0.241   0.500   0.260
 117.548    0.999     0.242   0.500   0.257
 117.592    0.999     0.242   0.500   0.257
 117.635    1.003     0.241   0.500   0.261
 117.679    1.003     0.241   0.500   0.262
 117.722    1.001     0.242   0.500   0.260
 117.766    0.999     0.241   0.500   0.257
 117.810    0.998     0.241   0.500   0.257
 117.853    0.999     0.241   0.498   0.259
 117.897    1.000     0.241   0.499   0.259
 117.941    1.001     0.241   0.500   0.259
 117.984    1.002     0.242   0.499   0.261
 118.028    1.002     0.242   0.499   0.261
 118.072    0.999     0.242   0.499   0.258
 118.115    0.998     0.241   0.499   0.258
 118.159    0.999     0.241   0.499   0.258
 118.202    0.999     0.241   0.500   0.258
 118.246    1.003     0.242   0.500   0.261
 118.290    1.003     0.242   0.499   0.262
 118.333    1.000     0.242   0.498   0.260
 118.377    0.998     0.242   0.499   0.258
 118.421    0.998     0.242   0.499   0.257
 118.464    0.999     0.242   0.499   0.257
 118.508    0.998     0.241   0.500   0.257
 118.551    0.998     0.242   0.500   0.257
 118.595    0.997     0.242   0.499   0.256
 118.639    0.997     0.241   0.499   0.257
 118.682    0.998     0.241   0.499   0.257
 118.726    0.997     0.242   0.499   0.257
 118.770    0.997     0.242   0.500   0.255
 118.813    0.999     0.241   0.500   0.258
 118.857    1.001     0.241   0.500   0.261
 118.901    0.999     0.241   0.499   0.259
 118.944    0.998     0.241   0.500   0.257
 118.988    0.998     0.241   0.501   0.256
 119.031    0.998     0.241   0.501   0.256
 119.075    1.001     0.241   0.501   0.259
 119.119    1.002     0.241   0.501   0.259
 119.162    1.003     0.241   0.501   0.260
 119.206    1.004     0.241   0.502   0.261
 119.250    1.005     0.241   0.501   0.262
 119.293    1.005     0.241   0.500   0.263
 119.337    1.004     0.242   0.501   0.261
 119.381    1.002     0.241   0.501   0.259
 119.424    1.001     0.241   0.501   0.259
 119.468    1.001     0.241   0.500   0.260
 119.511    1.000     0.241   0.501   0.258
 119.555    1.002     0.241   0.501   0.259
 119.599    1.002     0.241   0.500   0.261
 119.642    1.001     0.241   0.501   0.259
 119.686    1.000     0.242   0.500   0.258
 119.730    1.000     0.242   0.499   0.259
 119.773    0.998     0.241   0.499   0.258
 119.817    0.999     0.241   0.499   0.259
 119.860    1.000     0.241   0.498   0.260
 119.904    0.998     0.242   0.499   0.257
 119.948    0.997     0.241   0.499   0.257
 119.991    0.999     0.241   0.498   0.260
 120.035    1.000     0.241   0.499   0.260
 120.079    1.001     0.241   0.499   0.260
 120.122    1.000     0.241   0.499   0.259
 120.166    0.999     0.241   0.500   0.258
 120.210    0.999     0.242   0.499   0.258
 120.253    0.998     0.242   0.499   0.257
 120.297    0.999     0.242   0.500   0.258
 120.340    1.000     0.242   0.499   0.259
 120.384    0.999     0.241   0.499   0.258
 120.428    0.999     0.241   0.499   0.259
 120.471    1.000     0.242   0.499   0.259
 120.515    1.002     0.242   0.500   0.260
 120.559    1.001     0.242   0.500   0.259
 120.602    0.997     0.242   0.499   0.256
 120.646    0.999     0.242   0.499   0.258
 120.690    0.999     0.242   0.499   0.258
 120.733    0.997     0.242   0.499   0.256
 120.777    0.999     0.242   0.500   0.257
 120.820    1.001     0.242   0.501   0.259
 120.864    1.000     0.242   0.500   0.258
 120.908    0.997     0.241   0.500   0.255
 120.951    0.998     0.241   0.501   0.256
 120.995    1.001     0.242   0.500   0.260
 121.039    1.001     0.242   0.500   0.260
 121.082    1.000     0.242   0.500   0.258
 121.126    1.002     0.242   0.500   0.260
 121.169    1.002     0.242   0.500   0.260
 121.213    1.000     0.242   0.500   0.258
 121.257    1.003     0.242   0.501   0.260
 121.300    1.006     0.241   0.502   0.263
 121.344    1.003     0.241   0.501   0.260
 121.388    0.999     0.241   0.500   0.257
 121.431    1.001     0.241   0.501   0.259
 121.475    1.003     0.242   0.501   0.261
 121.519    1.001     0.241   0.501   0.259
 121.562    0.999     0.241   0.501   0.258
 121.606    1.001     0.241   0.500   0.260
 121.649    1.003     0.241   0.500   0.261
 121.693    1.002     0.241   0.501   0.260
 121.737    1.000     0.241   0.500   0.259
 121.780    0.997     0.241   0.499   0.256
 121.824    0.998     0.241   0.501   0.256
 121.868    1.001     0.241   0.501   0.259
 121.911    1.000     0.241   0.499   0.260
 121.955    1.000     0.241   0.499   0.260
 121.999    1.002     0.241   0.500   0.260
 122.042    1.000     0.241   0.500   0.259
 122.086    0.998     0.241   0.500   0.257
 122.129    1.000     0.241   0.500   0.259
 122.173    1.001     0.241   0.499   0.260
 122.217    0.999     0.241   0.498   0.259
 122.260    0.998     0.241   0.498   0.259
 122.304    0.997     0.241   0.498   0.257
 122.348    0.997     0.241   0.499   0.257
 122.391    0.999     0.241   0.499   0.259
 122.435    1.000     0.242   0.499   0.260
 122.478    0.998     0.241   0.499   0.258
 122.522    0.998     0.241   0.499   0.258
 122.566    1.000     0.241   0.500   0.259
 122.609    0.999     0.241   0.499   0.259
 122.653    0.997     0.241   0.499   0.256
 122.697    0.997     0.241   0.499   0.256
 122.740    0.998     0.241   0.499   0.257
 122.784    0.998     0.242   0.499   0.257
 122.828    0.999     0.242   0.499   0.258
 122.871    0.999     0.242   0.501   0.256
 122.915    1.001     0.242   0.501   0.258
 122.958    1.002     0.242   0.500   0.260
 123.002    0.999     0.242   0.500   0.258
 123.046    1.000     0.242   0.500   0.257
 123.089    1.000     0.242   0.500   0.258
 123.133    1.000     0.242   0.501   0.258
 123.177    1.003     0.242   0.501   0.260
 123.220    1.005     0.242   0.501   0.263
 123.264    1.006     0.242   0.501   0.264
 123.308    1.003     0.242   0.501   0.261
 123.351    0.999     0.242   0.500   0.258
 123.395    1.002     0.242   0.501   0.259
 123.438    1.003     0.242   0.501   0.261
 123.482    1.002     0.242   0.500   0.260
 123.526    1.003     0.242   0.501   0.260
 123.569    1.002     0.242   0.501   0.259
 123.613    1.001     0.241   0.500   0.260
 123.657    1.000     0.241   0.500   0.259
 123.700    0.999     0.241   0.500   0.258
 123.744    0.999     0.241   0.500   0.258
 123.787    0.999     0.241   0.499   0.258
 123.831    0.997     0.241   0.499   0.257
 123.875    0.999     0.242   0.500   0.258
 123.918    1.000     0.242   0.500   0.258
 123.962    0.999     0.241   0.499   0.258
 124.006    0.999     0.241   0.499   0.259
 124.049    0.999     0.241   0.500   0.258
 124.093    1.000     0.241   0.500   0.259
 124.137    0.999     0.241   0.500   0.258
 124.180    0.998     0.241   0.499   0.258
 124.224    1.000     0.241   0.499   0.259
 124.267    1.000     0.241   0.501   0.258
 124.311    1.001     0.241   0.501   0.259
 124.355    1.001     0.242   0.499   0.260
 124.398    1.000     0.241   0.499   0.259
 124.442    1.000     0.241   0.500   0.259
 124.486    1.000     0.241   0.499   0.260
 124.529    1.001     0.241   0.499   0.260
 124.573    0.999     0.241   0.499   0.258
 124.617    0.999     0.241   0.499   0.258
 124.660    1.001     0.241   0.500   0.260
 124.704    1.001     0.241   0.500   0.260
 124.747    0.998     0.241   0.499   0.258
 124.791    0.999     0.241   0.499   0.258
 124.835    0.998     0.241   0.500   0.256
 124.878    0.998     0.241   0.499   0.257
 124.922    1.000     0.241   0.499   0.260
 124.966    0.998     0.241   0.499   0.258
 125.009    0.994     0.241   0.498   0.255
 125.053    0.995     0.241   0.499   0.254
 125.096    0.998     0.241   0.500   0.257
 125.140    1.002     0.241   0.500   0.260
 125.184    1.000     0.241   0.500   0.259
 125.227    0.997     0.241   0.500   0.255
 125.271    1.000     0.242   0.500   0.258
 125.315    1.002     0.242   0.499   0.261
 125.358    1.001     0.242   0.500   0.259
 125.402    1.003     0.242   0.501   0.260
 125.446    1.003     0.242   0.501   0.261
 125.489    1.003     0.242   0.501   0.260
 125.533    1.001     0.242   0.500   0.259
 125.576    1.000     0.242   0.500   0.259
 125.620    1.004     0.242   0.501   0.261
 125.664    1.002     0.242   0.501   0.259
 125.707    1.001     0.242   0.501   0.258
 125.751    1.004     0.242   0.501   0.261
 125.795    1.004     0.241   0.501   0.262
 125.838    1.004     0.241   0.502   0.261
 125.882    1.003     0.242   0.501   0.260
 125.926    1.000     0.242   0.501   0.257
 125.969    1.000     0.242   0.501   0.258
 126.013    1.002     0.242   0.500   0.260
 126.056    1.000     0.242   0.500   0.259
 126.100    0.998     0.242   0.500   0.257
 126.144    0.996     0.241   0.499   0.256
 126.187    0.996     0.241   0.499   0.256
 126.231    0.998     0.241   0.498   0.259
 126.275    0.999     0.241   0.498   0.259
 126.318    0.996     0.241   0.498   0.256
 126.362    0.997     0.241   0.499   0.256
 126.405    0.999     0.241   0.500   0.258
 126.449    0.998     0.241   0.499   0.258
 126.493    0.997     0.241   0.499   0.256
 126.536    0.997     0.242   0.499   0.256
 126.580    1.001     0.242   0.500   0.259
 126.624    1.003     0.242   0.500   0.261
 126.667    1.000     0.241   0.499   0.260
 126.711    1.001     0.241   0.500   0.260
 126.755    1.001     0.241   0.500   0.260
 126.798    1.000     0.241   0.499   0.260
 126.842    1.002     0.241   0.500   0.260
 126.885    1.002     0.241   0.500   0.261
 126.929    1.000     0.241   0.499   0.260
 126.973    0.999     0.241   0.500   0.258
 127.016    1.001     0.241   0.500   0.260
 127.060    1.001     0.241   0.500   0.260
 127.104    0.999     0.241   0.499   0.258
 127.147    0.998     0.241   0.499   0.257
 127.191    1.000     0.241   0.500   0.259
 127.235    0.999     0.241   0.500   0.258
 127.278    0.997     0.241   0.500   0.256
 127.322    0.998     0.241   0.499   0.257
 127.365    0.998     0.241   0.499   0.257
 127.409    0.997     0.241   0.500   0.256
 127.453    0.996     0.241   0.500   0.255
 127.496    0.998     0.242   0.499   0.257
 127.540    1.000     0.241   0.500   0.259
 127.584    1.000     0.241   0.500   0.258
 127.627    1.003     0.241   0.500   0.261
 127.671    1.004     0.241   0.501   0.262
 127.714    1.000     0.242   0.501   0.258
 127.758    0.999     0.242   0.500   0.257
 127.802    1.002     0.242   0.500   0.260
 127.845    1.006     0.242   0.501   0.263
 127.889    1.003     0.242   0.501   0.261
 127.933    1.002     0.242   0.501   0.259
 127.976    1.003     0.242   0.501   0.260
 128.020    1.001     0.242   0.500   0.259
 128.064    1.000     0.242   0.500   0.259
 128.107    1.001     0.242   0.501   0.258
 128.151    1.001     0.242   0.501   0.258
 128.194    1.001     0.242   0.500   0.259
 128.238    1.001     0.242   0.500   0.259
 128.282    1.002     0.242   0.501   0.260
 128.325    1.002     0.242   0.501   0.260
 128.369    1.001     0.242   0.500   0.260
 128.413    0.999     0.242   0.499   0.259
 128.456    0.999     0.242   0.500   0.258
 128.500    0.999     0.241   0.500   0.258
 128.544    0.997     0.242   0.499   0.256
 128.587    0.995     0.242   0.499   0.254
 128.631    0.998     0.242   0.499   0.257
 128.674    0.999     0.241   0.500   0.258
 128.718    0.998     0.241   0.499   0.257
 128.762    0.998     0.242   0.499   0.258
 128.805    0.998     0.242   0.498   0.259
 128.849    0.999     0.241   0.498   0.259
 128.893    1.000     0.241   0.499   0.260
 128.936    1.001     0.241   0.500   0.260
 128.980    1.001     0.241   0.499   0.261
 129.023    1.001     0.241   0.500   0.261
 129.067    1.001     0.241   0.500   0.260
 129.111    1.000     0.241   0.499   0.260
 129.154    1.000     0.241   0.499   0.259
 129.198    1.000     0.241   0.500   0.258
 129.242    0.999     0.241   0.500   0.258
 129.285    0.997     0.241   0.499   0.256
 129.329    0.998     0.241   0.500   0.257
 129.373    1.000     0.241   0.499   0.260
 129.416    1.000     0.241   0.499   0.261
 129.460    1.000     0.241   0.500   0.258
 129.503    0.998     0.241   0.501   0.255
 129.547    0.997     0.241   0.500   0.256
 129.591    1.000     0.241   0.499   0.260
 129.634    1.004     0.241   0.500   0.263
 129.678    1.003     0.241   0.502   0.260
 129.722    0.999     0.241   0.502   0.256
 129.765    0.997     0.241   0.501   0.255
 129.809    0.999     0.242   0.500   0.258
 129.853    1.002     0.241   0.501   0.260
 129.896    1.001     0.241   0.501   0.259
 129.940    1.000     0.241   0.499   0.259
 129.983    1.000     0.241   0.499   0.260
 130.027    1.003     0.241   0.502   0.260
 130.071    1.002     0.241   0.502   0.259
 130.114    1.001     0.242   0.501   0.259
 130.158    1.001     0.241   0.500   0.260
 130.202    1.002     0.241   0.500   0.260
 130.245    1.002     0.242   0.500   0.261
 130.289    1.003     0.242   0.500   0.262
 130.332    1.003     0.241   0.501   0.261
 130.376    0.999     0.241   0.500   0.257
 130.420    0.997     0.242   0.500   0.255
 130.463    1.000     0.242   0.500   0.258
 130.507    1.001     0.242   0.500   0.260
 130.551    0.999     0.241   0.499   0.258
 130.594    0.998     0.241   0.499   0.258
 130.638    0.999     0.241   0.499   0.258
 130.682    1.000     0.242   0.500   0.259
 130.725    1.001     0.242   0.501   0.258
 130.769    1.001     0.242   0.500   0.259
 130.812    0.999     0.242   0.499   0.259
 130.856    0.998     0.241   0.498   0.258
 130.900    1.000     0.242   0.499   0.260
 130.943    1.000     0.242   0.500   0.259
 130.987    1.000     0.242   0.499   0.259
 131.031    1.000     0.242   0.499   0.259
 131.074    0.999     0.241   0.499   0.258
 131.118    0.998     0.241   0.499   0.258
 131.161    0.999     0.241   0.499   0.259
 131.205    0.999     0.242   0.499   0.258
 131.249    0.997     0.241   0.499   0.257
 131.292    0.998     0.241   0.499   0.258
 131.336    0.998     0.241   0.499   0.258
 131.380    1.000     0.241   0.499   0.259
 131.423    1.000     0.241   0.500   0.259
 131.467    0.999     0.241   0.500   0.257
 131.511    0.999     0.241   0.500   0.258
 131.554    0.999     0.241   0.499   0.258
 131.598    0.999     0.241   0.500   0.258
 131.641    0.999     0.241   0.500   0.257
 131.685    0.998     0.241   0.500   0.257
 131.729    1.000     0.241   0.500   0.259
 131.772    1.002     0.241   0.500   0.261
 131.816    1.002     0.241   0.500   0.260
 131.860    1.001     0.241   0.501   0.259
 131.903    1.003     0.241   0.501   0.260
 131.947    1.002     0.241   0.501   0.261
 131.991    1.000     0.241   0.499   0.259
 132.034    1.002     0.241   0.500   0.260
 132.078    1.003     0.241   0.501   0.261
 132.121    1.002     0.241   0.502   0.259
 132.165    1.001     0.241   0.502   0.258
 132.209    1.000     0.241   0.501   0.257
 132.252    1.000     0.241   0.500   0.258
 132.296    1.002     0.241   0.501   0.260
 132.340    1.001     0.242   0.500   0.259
 132.383    1.001     0.242   0.500   0.259
 132.427    1.001     0.241   0.501   0.259
 132.471    0.999     0.241   0.500   0.258
 132.514    0.998     0.241   0.499   0.257
 132.558    0.999     0.241   0.500   0.258
 132.601    1.000     0.242   0.500   0.258
 132.645    1.000     0.242   0.500   0.258
 132.689    1.002     0.241   0.500   0.261
 132.732    1.002     0.241   0.500   0.261
 132.776    0.998     0.241   0.499   0.258
 132.820    0.999     0.241   0.500   0.258
 132.863    1.001     0.242   0.499   0.260
 132.907    1.001     0.241   0.499   0.260
 132.950    0.999     0.242   0.499   0.258
 132.994    0.997     0.242   0.499   0.257
 133.038    0.999     0.241   0.499   0.259
 133.081    1.000     0.241   0.499   0.259
 133.125    0.999     0.242   0.499   0.259
 133.169    0.997     0.241   0.498   0.257
 133.212    0.997     0.241   0.499   0.257
 133.256    1.001     0.242   0.499   0.260
 133.300    1.000     0.242   0.500   0.258
 133.343    0.999     0.241   0.500   0.258
 133.387    0.999     0.241   0.499   0.259
 133.430    0.999     0.242   0.499   0.258
 133.474    0.999     0.241   0.499   0.259
 133.518    0.998     0.241   0.499   0.258
 133.561    0.996     0.242   0.499   0.255
 133.605    0.998     0.242   0.500   0.257
 133.649    1.001     0.241   0.500   0.260
 133.692    1.001     0.241   0.501   0.259
 133.736    1.003     0.241   0.501   0.261
 133.779    1.003     0.241   0.501   0.261
 133.823    0.999     0.241   0.500   0.258
 133.867    0.999     0.241   0.500   0.258
 133.910    1.004     0.241   0.500   0.263
 133.954    1.004     0.241   0.501   0.262
 133.998    1.000     0.241   0.502   0.257
 134.041    1.000     0.241   0.501   0.257
 134.085    1.001     0.241   0.500   0.260
 134.129    1.003     0.242   0.501   0.261
 134.172    1.001     0.241   0.501   0.258
 134.216    0.997     0.241   0.501   0.256
 134.259    1.000     0.241   0.501   0.258
 134.303    1.002     0.241   0.502   0.259
 134.347    1.001     0.241   0.501   0.259
 134.390    1.002     0.241   0.500   0.261
 134.434    1.000     0.241   0.500   0.259
 134.478    1.000     0.241   0.500   0.259
 134.521    1.001     0.241   0.499   0.260
 134.565    0.997     0.241   0.499   0.257
 134.609    0.999     0.242   0.500   0.257
 134.652    1.001     0.242   0.501   0.259
 134.696    1.002     0.241   0.500   0.260
 134.739    1.002     0.241   0.499   0.261
 134.783    0.999     0.241   0.500   0.258
 134.827    0.999     0.241   0.499   0.259
 134.870    1.003     0.242   0.499   0.262
 134.914    1.000     0.241   0.500   0.259
 134.958    0.998     0.241   0.500   0.257
 135.001    1.001     0.242   0.499   0.260
 135.045    0.999     0.242   0.499   0.259
 135.088    0.997     0.241   0.499   0.256
 135.132    0.998     0.241   0.500   0.257
 135.176    0.998     0.241   0.499   0.258
 135.219    0.996     0.241   0.499   0.257
 135.263    0.998     0.241   0.500   0.257
 135.307    1.000     0.241   0.500   0.259
 135.350    0.999     0.241   0.499   0.259
 135.394    0.999     0.241   0.499   0.259
 135.438    1.000     0.241   0.499   0.260
 135.481    0.998     0.241   0.499   0.258
 135.525    0.998     0.242   0.500   0.257
 135.568    1.001     0.242   0.500   0.259
 135.612    1.000     0.241   0.499   0.259
 135.656    0.999     0.241   0.500   0.257
 135.699    0.999     0.241   0.500   0.258
 135.743    1.001     0.241   0.499   0.260
 135.787    1.003     0.241   0.500   0.261
 135.830    1.000     0.242   0.500   0.259
 135.874    0.998     0.242   0.499   0.258
 135.918    1.003     0.242   0.500   0.261
 135.961    1.003     0.242   0.501   0.261
 136.005    0.999     0.242   0.500   0.257
 136.048    0.999     0.241   0.500   0.257
 136.092    1.002     0.241   0.501   0.260
 136.136    1.003     0.241   0.501   0.261
 136.179    1.001     0.241   0.500   0.260
 136.223    1.000     0.241   0.500   0.259
 136.267    1.001     0.241   0.501   0.259
 136.310    1.000     0.242   0.501   0.257
 136.354    1.000     0.241   0.501   0.257
 136.397    0.999     0.242   0.501   0.257
 136.441    0.999     0.242   0.500   0.257
 136.485    1.001     0.241   0.501   0.259
 136.528    1.001     0.241   0.499   0.260
 136.572    1.002     0.241   0.499   0.262
 136.616    1.002     0.241   0.500   0.260
 136.659    1.001     0.242   0.501   0.258
 136.703    0.998     0.242   0.499   0.257
 136.747    0.997     0.241   0.499   0.257
 136.790    1.000     0.241   0.500   0.259
 136.834    1.003     0.241   0.501   0.261
 136.877    1.001     0.242   0.500   0.259
 136.921    0.999     0.242   0.499   0.258
 136.965    0.999     0.241   0.499   0.259
 137.008    0.999     0.241   0.499   0.259
 137.052    0.999     0.242   0.500   0.258
 137.096    0.999     0.242   0.499   0.259
 137.139    0.999     0.241   0.499   0.259
 137.183    0.999     0.241   0.500   0.258
 137.227    0.999     0.241   0.500   0.258
 137.270    0.999     0.241   0.499   0.258
 137.314    0.999     0.241   0.499   0.258
 137.357    0.998     0.241   0.499   0.257
 137.401    0.999     0.241   0.500   0.258
 137.445    1.001     0.242   0.500   0.259
 137.488    0.999     0.241   0.500   0.258
 137.532    0.997     0.241   0.500   0.256
 137.576    0.998     0.241   0.499   0.257
 137.619    1.001     0.241   0.499   0.260
 137.663    1.001     0.241   0.500   0.259
 137.706    1.001     0.241   0.500   0.260
 137.750    1.000     0.241   0.499   0.260
 137.794    0.999     0.241   0.499   0.258
 137.837    1.000     0.242   0.500   0.259
 137.881    1.000     0.241   0.500   0.259
 137.925    1.001     0.241   0.500   0.259
 137.968    1.001     0.241   0.500   0.260
 138.012    1.000     0.241   0.500   0.259
 138.056    1.000     0.242   0.501   0.258
 138.099    1.001     0.242   0.501   0.259
 138.143    1.000     0.241   0.500   0.259
 138.186    1.001     0.242   0.500   0.260
 138.230    1.000     0.241   0.500   0.258
 138.274    1.000     0.241   0.501   0.258
 138.317    1.004     0.241   0.501   0.262
 138.361    1.001     0.241   0.500   0.259
 138.405    0.999     0.242   0.500   0.257
 138.448    1.002     0.241   0.501   0.260
 138.492    1.001     0.241   0.500   0.259
 138.536    0.999     0.241   0.499   0.258
 138.579    0.999     0.241   0.499   0.259
 138.623    1.000     0.241   0.500   0.259
 138.666    1.001     0.241   0.500   0.260
 138.710    1.003     0.242   0.500   0.261
 138.754    1.001     0.242   0.501   0.259
 138.797    0.997     0.242   0.500   0.256
 138.841    0.998     0.241   0.500   0.257
 138.885    0.999     0.241   0.500   0.258
 138.928    1.000     0.241   0.500   0.258
 138.972    0.998     0.241   0.500   0.257
 139.015    0.999     0.242   0.500   0.258
 139.059    1.001     0.242   0.500   0.260
 139.103    1.000     0.241   0.500   0.259
