 Substance:Al_U       2023/12/12 09:52:08                     
 Input files: ./data/Al_U_large_n0001.dat to ./data/Al_U_large_n0001.dat step           1
 OMP processes  =            2
 Integration Monte Carlo     100000000 cell pairs, j_rand          10
 Supercell size:           1           1           1
 Unit cell parameter:   79.8159637       79.8159637       79.8159637    
 Atoms/unit_cell:           2
 Atoms  :    Al      U   
 Atom no.        1       2
 Occups:   0.9200  0.0800
 Weights: Xray            12.9937 91.9693
 Masks	:        1       1
 Smoothing FWHM [Å-1]   8.72664675E-02

 Output: S(Q)
 Partials index        1  1    1  2    2  2
   Q [A-1]   Total       Al_Al   Al_U   U_U
  22.122    0.989     0.183   0.494   0.311
  22.166    0.991     0.183   0.492   0.315
  22.209    0.985     0.183   0.490   0.312
  22.253    0.991     0.183   0.493   0.316
  22.297    0.993     0.183   0.494   0.316
  22.340    0.993     0.182   0.492   0.319
  22.384    1.010     0.183   0.490   0.337
  22.427    1.005     0.184   0.490   0.332
  22.471    1.002     0.184   0.490   0.327
  22.515    1.008     0.184   0.492   0.332
  22.558    0.997     0.184   0.491   0.322
  22.602    1.001     0.182   0.491   0.328
  22.646    1.013     0.183   0.493   0.337
  22.689    1.006     0.184   0.494   0.328
  22.733    0.998     0.184   0.491   0.324
  22.777    0.999     0.184   0.488   0.326
  22.820    0.993     0.185   0.486   0.321
  22.864    0.995     0.185   0.487   0.324
  22.907    1.000     0.184   0.494   0.322
  22.951    0.995     0.185   0.496   0.314
  22.995    0.995     0.185   0.491   0.319
  23.038    0.994     0.184   0.489   0.322
  23.082    1.004     0.185   0.491   0.328
  23.126    1.013     0.185   0.487   0.341
  23.169    1.019     0.185   0.487   0.347
  23.213    1.010     0.186   0.493   0.330
  23.257    0.992     0.186   0.493   0.314
  23.300    1.001     0.185   0.491   0.325
  23.344    1.011     0.186   0.491   0.334
  23.387    1.015     0.186   0.489   0.340
  23.431    1.010     0.187   0.490   0.333
  23.475    1.014     0.188   0.491   0.335
  23.518    1.020     0.188   0.490   0.341
  23.562    0.988     0.187   0.487   0.314
  23.606    0.997     0.188   0.488   0.321
  23.649    1.020     0.190   0.495   0.336
  23.693    1.000     0.189   0.491   0.321
  23.736    0.997     0.188   0.488   0.320
  23.780    0.994     0.190   0.489   0.315
  23.824    0.992     0.190   0.491   0.312
  23.867    0.992     0.189   0.493   0.310
  23.911    0.979     0.190   0.488   0.301
  23.955    0.993     0.191   0.490   0.312
  23.998    1.004     0.190   0.499   0.315
  24.042    0.987     0.190   0.496   0.301
  24.086    0.987     0.192   0.492   0.303
  24.129    0.997     0.192   0.493   0.312
  24.173    1.003     0.191   0.492   0.320
  24.216    1.005     0.191   0.495   0.319
  24.260    0.996     0.192   0.492   0.312
  24.304    0.994     0.193   0.487   0.314
  24.347    0.998     0.194   0.490   0.314
  24.391    0.999     0.194   0.491   0.315
  24.435    0.990     0.193   0.489   0.307
  24.478    1.002     0.193   0.498   0.311
  24.522    1.007     0.194   0.502   0.311
  24.566    0.980     0.194   0.489   0.296
  24.609    0.977     0.194   0.486   0.297
  24.653    0.990     0.194   0.494   0.302
  24.696    1.001     0.195   0.494   0.312
  24.740    1.010     0.195   0.494   0.321
  24.784    1.003     0.195   0.494   0.314
  24.827    0.997     0.194   0.490   0.313
  24.871    1.003     0.194   0.493   0.316
  24.915    1.007     0.195   0.496   0.316
  24.958    1.010     0.195   0.496   0.318
  25.002    1.004     0.196   0.496   0.313
  25.045    1.003     0.196   0.493   0.314
  25.089    1.013     0.196   0.494   0.324
  25.133    1.008     0.196   0.494   0.318
  25.176    1.001     0.196   0.493   0.312
  25.220    1.001     0.196   0.490   0.316
  25.264    1.003     0.196   0.494   0.313
  25.307    1.007     0.197   0.498   0.312
  25.351    1.014     0.197   0.494   0.323
  25.395    1.019     0.197   0.496   0.326
  25.438    1.001     0.197   0.493   0.311
  25.482    0.986     0.196   0.488   0.303
