 Substance:Al_U       2023/12/12 09:53:01                     
 Input files: ./data/Al_U_large_n0001.dat to ./data/Al_U_large_n0001.dat step           1
 OMP processes  =            2
 Integration Monte Carlo     100000000 cell pairs, j_rand          10
 Supercell size:           1           1           1
 Unit cell parameter:   79.8159637       79.8159637       79.8159637    
 Atoms/unit_cell:           2
 Atoms  :    Al      U   
 Atom no.        1       2
 Occups:   0.9200  0.0800
 Weights: Xray            12.9937 91.9693
 Masks	:        1       1
 Smoothing FWHM [Å-1]   8.72664675E-02

 Output: Z(Q)
 Partials index      1  1    1  2    2  2
   Q [A-1]   Al_Al   Al_U   U_U
  15.533     0.001  -0.029  -0.007
  15.577     0.006  -0.035  -0.020
  15.621     0.002  -0.028  -0.066
  15.664    -0.000  -0.016  -0.055
  15.708     0.000  -0.020  -0.006
  15.752     0.005  -0.016  -0.053
  15.795     0.009   0.014  -0.088
  15.839     0.007  -0.002  -0.067
  15.882     0.005  -0.030  -0.055
  15.926     0.006  -0.013  -0.062
  15.970     0.014  -0.008  -0.133
  16.013     0.017  -0.005  -0.089
  16.057     0.011   0.009   0.000
  16.101     0.005   0.027  -0.058
  16.144     0.003   0.034  -0.061
  16.188     0.010   0.019  -0.049
  16.232     0.015   0.021  -0.105
  16.275     0.013   0.026  -0.010
  16.319     0.010   0.014   0.056
  16.362     0.014   0.025   0.004
  16.406     0.017   0.044   0.041
  16.450     0.007   0.030   0.058
  16.493     0.006   0.004   0.042
  16.537     0.013  -0.002   0.081
  16.581     0.013   0.018   0.088
  16.624     0.011   0.033   0.061
  16.668     0.007   0.025   0.030
  16.712     0.006   0.028  -0.004
  16.755     0.006   0.015  -0.020
  16.799     0.005  -0.021   0.016
  16.842     0.006  -0.002   0.065
  16.886     0.002   0.025   0.092
  16.930    -0.001   0.005   0.103
  16.973     0.002  -0.009   0.026
  17.017    -0.001  -0.008  -0.050
  17.061    -0.001  -0.012   0.004
  17.104     0.005  -0.010   0.076
  17.148    -0.001   0.001   0.051
  17.191    -0.010  -0.002  -0.007
  17.235    -0.013  -0.017  -0.001
  17.279    -0.010  -0.025   0.009
  17.322    -0.006  -0.021   0.007
  17.366    -0.009  -0.023   0.061
  17.410    -0.010  -0.017   0.081
  17.453    -0.008  -0.009   0.014
  17.497    -0.011  -0.019  -0.027
  17.541    -0.011  -0.021   0.020
  17.584    -0.009  -0.029   0.015
  17.628    -0.011  -0.028  -0.080
  17.671    -0.010  -0.014  -0.105
  17.715    -0.010  -0.007  -0.068
  17.759    -0.012  -0.014  -0.056
  17.802    -0.011  -0.023  -0.031
  17.846    -0.010  -0.004  -0.037
  17.890    -0.009   0.003  -0.023
  17.933    -0.006  -0.007  -0.024
  17.977    -0.005   0.005  -0.069
  18.021    -0.006   0.017  -0.014
  18.064    -0.008   0.004  -0.019
  18.108    -0.006   0.003  -0.071
  18.151    -0.003   0.017  -0.077
  18.195    -0.004   0.005  -0.094
  18.239    -0.004   0.012  -0.054
  18.282    -0.000   0.023   0.007
  18.326    -0.001   0.007   0.023
  18.370    -0.002   0.018   0.031
  18.413     0.003   0.029   0.023
  18.457     0.005   0.021  -0.039
  18.500    -0.000   0.015  -0.020
  18.544     0.003   0.023   0.085
  18.588     0.010   0.022   0.086
  18.631     0.009   0.011   0.002
  18.675     0.008   0.009  -0.005
