 Substance:Cu_48       2023/01/05 09:09:41                     
 Input files: ./data/cu_c48_n0120.dat to ./data/cu_c48_n0120.dat step           1
 Supercell size:          48
 Integration Monte Carlo     100000000 cell pairs
 Atoms/unit_cell:           4
 Atoms  :    Cu1     Cu2     Cu3     Cu4 
 Atom no.        1       2       3       4
 Occup's:   1.0000  1.0000  1.0000  1.0000
 at_weights:   1.0000  1.0000  1.0000  1.0000
 Masks	:        1       1       1       1

 Atom pair partials:
                       1
                       1
   r(A^)   PDF_tot   PDF partials (cf. above)
  15.640    1.387    0.033
  15.660    1.349    0.034
  15.680    1.286    0.036
  15.700    1.202    0.039
  15.720    1.110    0.043
  15.740    1.013    0.048
  15.760    0.915    0.052
  15.780    0.825    0.056
  15.800    0.746    0.060
  15.820    0.677    0.061
  15.840    0.624    0.061
  15.860    0.586    0.060
  15.880    0.562    0.057
  15.900    0.552    0.054
  15.920    0.550    0.048
  15.940    0.554    0.044
  15.960    0.563    0.039
  15.980    0.573    0.035
  16.000    0.582    0.031
  16.020    0.590    0.029
  16.040    0.594    0.029
  16.060    0.587    0.029
  16.080    0.580    0.031
  16.100    0.567    0.034
  16.120    0.551    0.039
  16.140    0.533    0.044
  16.160    0.512    0.048
  16.180    0.494    0.052
  16.200    0.482    0.056
  16.220    0.474    0.058
  16.240    0.469    0.059
  16.260    0.474    0.060
  16.280    0.479    0.058
  16.300    0.490    0.056
  16.320    0.508    0.052
  16.340    0.530    0.048
  16.360    0.552    0.045
  16.380    0.571    0.042
  16.400    0.595    0.040
  16.420    0.614    0.040
  16.440    0.635    0.043
  16.460    0.650    0.047
  16.480    0.663    0.052
  16.500    0.676    0.060
  16.520    0.690    0.068
  16.540    0.702    0.078
  16.560    0.718    0.087
  16.580    0.735    0.095
  16.600    0.765    0.102
  16.620    0.795    0.107
  16.640    0.833    0.109
  16.660    0.879    0.108
  16.680    0.931    0.105
  16.700    0.990    0.100
  16.720    1.047    0.092
  16.740    1.108    0.084
  16.760    1.162    0.074
  16.780    1.207    0.065
  16.800    1.243    0.056
  16.820    1.261    0.049
  16.840    1.260    0.044
  16.860    1.237    0.041
  16.880    1.199    0.039
  16.900    1.147    0.039
  16.920    1.079    0.041
  16.940    1.014    0.043
  16.960    0.945    0.045
  16.980    0.883    0.048
  17.000    0.835    0.050
  17.020    0.807    0.052
  17.040    0.794    0.051
  17.060    0.799    0.050
  17.080    0.825    0.048
  17.100    0.865    0.045
  17.120    0.913    0.041
  17.140    0.968    0.036
  17.160    1.018    0.031
  17.180    1.058    0.026
  17.200    1.085    0.021
  17.220    1.089    0.017
  17.240    1.073    0.012
  17.260    1.038    0.009
  17.280    0.983    0.007
  17.300    0.913    0.005
  17.320    0.833    0.003
  17.340    0.753    0.002
  17.360    0.677    0.002
  17.380    0.613    0.001
  17.400    0.562    0.001
  17.420    0.532    0.001
  17.440    0.526    0.001
  17.460    0.537    0.001
  17.480    0.567    0.002
  17.500    0.609    0.003
  17.520    0.661    0.004
  17.540    0.715    0.005
  17.560    0.766    0.007
  17.580    0.802    0.010
  17.600    0.834    0.013
  17.620    0.848    0.016
  17.640    0.846    0.020
  17.660    0.831    0.025
  17.680    0.808    0.030
  17.700    0.779    0.034
  17.720    0.749    0.038
  17.740    0.718    0.042
  17.760    0.697    0.045
  17.780    0.689    0.047
  17.800    0.692    0.047
  17.820    0.708    0.047
  17.840    0.737    0.045
  17.860    0.773    0.043
  17.880    0.819    0.040
  17.900    0.865    0.038
  17.920    0.904    0.035
  17.940    0.943    0.034
  17.960    0.967    0.033
  17.980    0.976    0.033
  18.000    0.969    0.035
  18.020    0.949    0.038
  18.040    0.920    0.041
  18.060    0.874    0.045
  18.080    0.826    0.049
  18.100    0.772    0.053
  18.120    0.723    0.057
  18.140    0.673    0.058
  18.160    0.635    0.060
  18.180    0.604    0.060
  18.200    0.582    0.060
  18.220    0.566    0.058
  18.240    0.562    0.057
  18.260    0.563    0.054
  18.280    0.574    0.054
  18.300    0.587    0.055
  18.320    0.604    0.058
  18.340    0.626    0.062
  18.360    0.650    0.069
  18.380    0.672    0.078
  18.400    0.699    0.088
  18.420    0.724    0.098
  18.440    0.749    0.108
  18.460    0.771    0.117
  18.480    0.794    0.125
  18.500    0.811    0.130
  18.520    0.828    0.132
  18.540    0.838    0.131
  18.560    0.846    0.127
  18.580    0.849    0.120
  18.600    0.849    0.110
  18.620    0.841    0.101
  18.640    0.836    0.091
  18.660    0.823    0.081
  18.680    0.806    0.072
  18.700    0.788    0.066
  18.720    0.767    0.060
  18.740    0.746    0.057
  18.760    0.728    0.055
  18.780    0.714    0.055
  18.800    0.705    0.056
  18.820    0.704    0.057
  18.840    0.714    0.057
  18.860    0.737    0.058
  18.880    0.768    0.057
  18.900    0.812    0.056
  18.920    0.860    0.052
  18.940    0.916    0.049
  18.960    0.968    0.044
  18.980    1.016    0.039
  19.000    1.049    0.033
  19.020    1.072    0.028
  19.040    1.075    0.022
  19.060    1.057    0.018
  19.080    1.019    0.014
  19.100    0.965    0.011
  19.120    0.900    0.008
  19.140    0.829    0.006
  19.160    0.756    0.004
  19.180    0.692    0.003
  19.200    0.638    0.003
  19.220    0.602    0.003
  19.240    0.583    0.004
  19.260    0.582    0.006
  19.280    0.594    0.008
  19.300    0.625    0.011
  19.320    0.664    0.016
  19.340    0.708    0.022
  19.360    0.753    0.029
  19.380    0.795    0.037
  19.400    0.832    0.047
  19.420    0.858    0.058
  19.440    0.879    0.069
